Tipo,Temp_Aire,Temp_Proceso,Velocidad,Torque,Desgaste,Fallo,Tipo_Fallo,Consumo_Estimado,Gasto_Excesivo
M,299.1,309.5,1339,48.2,86,0,No Failure,64.5398,True
L,299.0,309.4,1798,25.5,89,0,No Failure,45.849,False
L,299.0,309.4,1419,48.3,91,0,No Failure,68.5377,True
L,298.9,309.3,1665,32.5,93,0,No Failure,54.1125,False
M,298.8,309.1,1559,34.7,95,0,No Failure,54.097300000000004,False
M,298.8,309.2,1452,48.6,98,0,No Failure,70.5672,True
M,298.9,309.2,1581,36.7,101,0,No Failure,58.02270000000001,False
L,298.8,309.1,1439,39.2,104,0,No Failure,56.4088,False
H,298.9,309.2,1379,50.7,106,0,No Failure,69.9153,True
L,298.8,309.1,1350,52.5,111,0,No Failure,70.875,True
L,298.8,309.1,1362,45.4,113,0,No Failure,61.834799999999994,True
L,298.8,309.1,1368,50.8,115,0,No Failure,69.4944,True
M,298.8,309.1,1368,49.1,117,0,No Failure,67.1688,True
H,298.8,309.2,1372,48.5,120,0,No Failure,66.542,True
M,298.8,309.1,1472,47.5,125,0,No Failure,69.92,True
L,298.8,309.1,1489,49.1,128,0,No Failure,73.10990000000001,True
M,298.7,309.0,1843,25.8,130,0,No Failure,47.5494,False
L,298.8,309.1,1418,46.3,133,0,No Failure,65.65339999999999,True
H,298.8,309.2,1425,53.9,135,0,No Failure,76.8075,True
M,298.9,309.2,1412,44.1,140,0,No Failure,62.269200000000005,True
L,298.9,309.1,2861,4.6,143,1,Power Failure,13.160599999999999,False
L,298.9,309.1,1383,54.9,145,0,No Failure,75.9267,True
H,298.8,309.0,1497,43.8,147,0,No Failure,65.56859999999999,True
L,298.7,309.0,1565,35.1,152,0,No Failure,54.9315,False
L,298.7,309.0,1691,30.1,154,0,No Failure,50.899100000000004,False
L,298.8,309.1,1512,40.7,156,0,No Failure,61.5384,True
L,298.8,309.1,1477,42.4,158,0,No Failure,62.62479999999999,True
L,298.8,309.1,1513,40.3,160,0,No Failure,60.97389999999999,True
M,298.8,309.0,1661,29.5,162,0,No Failure,48.9995,False
L,298.8,309.1,1378,54.4,165,0,No Failure,74.9632,True
L,298.8,309.1,1393,52.6,167,0,No Failure,73.2718,True
M,298.8,309.0,1592,38.2,169,0,No Failure,60.8144,True
L,298.8,309.0,1829,22.9,172,0,No Failure,41.8841,False
M,298.9,309.0,1812,25.9,174,0,No Failure,46.9308,False
L,299.0,309.1,1523,38.6,177,0,No Failure,58.787800000000004,False
L,299.0,309.1,1394,45.1,179,0,No Failure,62.8694,True
M,298.9,308.9,1679,28.7,181,0,No Failure,48.18729999999999,False
H,298.8,308.9,1466,44.1,184,0,No Failure,64.6506,True
L,298.8,308.9,1527,32.4,189,0,No Failure,49.474799999999995,False
L,298.9,309.0,1410,65.7,191,1,Power Failure,92.637,True
M,298.9,309.0,1924,22.6,193,0,No Failure,43.4824,False
L,298.9,309.1,1452,45.5,196,0,No Failure,66.066,True
L,298.9,309.1,1369,44.4,198,0,No Failure,60.7836,True
L,299.0,309.1,1592,35.0,200,0,No Failure,55.72,False
L,298.9,309.0,1601,32.3,202,0,No Failure,51.7123,False
L,298.8,308.9,1379,46.7,204,0,No Failure,64.3993,True
L,298.8,308.9,1461,47.9,206,0,No Failure,69.9819,True
L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,60.09149999999999,True
L,298.8,308.9,1398,51.5,0,0,No Failure,71.997,True
L,298.8,308.9,1402,37.9,2,0,No Failure,53.135799999999996,False
H,298.8,308.8,1445,49.9,4,0,No Failure,72.1055,True
L,298.9,308.9,1450,47.5,9,0,No Failure,68.875,True
L,298.9,308.9,1453,40.8,11,0,No Failure,59.282399999999996,False
L,299.0,309.0,1469,40.1,13,0,No Failure,58.9069,False
L,298.9,308.9,1422,47.6,15,0,No Failure,67.68719999999999,True
M,299.0,309.0,1804,26.8,17,0,No Failure,48.3472,False
H,299.0,309.0,1436,43.9,20,0,No Failure,63.0404,True
L,299.0,309.0,1544,31.8,25,0,No Failure,49.0992,False
M,299.0,309.0,1419,45.2,27,0,No Failure,64.1388,True
M,298.9,308.9,1487,39.5,30,0,No Failure,58.7365,False
L,298.9,308.9,1753,25.8,33,0,No Failure,45.2274,False
L,298.9,308.9,1830,24.9,35,0,No Failure,45.567,False
M,298.9,308.9,1727,27.1,37,0,No Failure,46.801700000000004,False
L,299.1,309.0,1450,43.0,40,0,No Failure,62.35,True
L,299.0,308.9,1622,31.9,42,0,No Failure,51.7418,False
M,299.0,309.0,1351,52.2,44,0,No Failure,70.5222,True
M,299.0,309.0,1575,35.3,47,0,No Failure,55.59749999999999,False
M,298.9,308.9,1750,29.9,50,0,No Failure,52.325,False
L,298.9,308.8,1529,32.7,53,0,No Failure,49.9983,False
L,298.8,308.8,1523,44.4,55,0,No Failure,67.6212,True
L,298.8,308.9,1852,25.0,57,0,No Failure,46.3,False
L,298.8,308.8,1991,20.7,59,0,No Failure,41.213699999999996,False
L,298.8,308.8,1555,40.6,61,0,No Failure,63.133,True
M,298.8,308.8,1441,40.5,63,0,No Failure,58.3605,False
L,298.8,308.7,1450,43.4,66,0,No Failure,62.93,True
L,298.8,308.7,1591,31.1,68,0,No Failure,49.48010000000001,False
L,298.8,308.7,1445,48.5,70,0,No Failure,70.0825,True
M,298.8,308.8,1497,46.8,72,0,No Failure,70.05959999999999,True
H,298.9,308.8,1621,32.7,75,0,No Failure,53.0067,False
L,298.9,308.7,1572,34.1,80,0,No Failure,53.6052,False
L,298.8,308.6,1872,22.5,82,0,No Failure,42.12,False
H,298.7,308.6,1499,43.5,84,0,No Failure,65.2065,True
M,298.8,308.7,1498,39.5,89,0,No Failure,59.171,False
M,298.8,308.6,1486,41.9,92,0,No Failure,62.263400000000004,True
L,298.8,308.6,1680,29.4,95,0,No Failure,49.392,False
L,298.8,308.6,1431,45.7,97,0,No Failure,65.39670000000001,True
L,298.9,308.7,1564,34.1,99,0,No Failure,53.3324,False
L,298.8,308.6,1599,33.0,101,0,No Failure,52.767,False
M,298.8,308.6,1707,28.1,103,0,No Failure,47.9667,False
L,298.7,308.5,1467,40.7,106,0,No Failure,59.706900000000005,False
L,298.9,308.7,1433,44.7,108,0,No Failure,64.05510000000001,True
L,298.9,308.7,1558,41.2,110,0,No Failure,64.18960000000001,True
L,299.0,308.8,1310,50.7,112,0,No Failure,66.417,True
L,298.9,308.7,1546,43.4,114,0,No Failure,67.09639999999999,True
L,298.9,308.7,1727,29.4,116,0,No Failure,50.773799999999994,False
L,298.9,308.6,1560,32.2,118,0,No Failure,50.232000000000006,False
L,299.0,308.6,1329,60.5,120,0,No Failure,80.4045,True
L,298.9,308.6,1413,46.5,122,0,No Failure,65.7045,True
L,299.0,308.6,1587,38.6,124,0,No Failure,61.2582,True
L,298.9,308.5,1559,34.3,126,0,No Failure,53.473699999999994,False
L,298.8,308.4,1473,41.1,128,0,No Failure,60.5403,True
L,298.8,308.4,1737,27.7,130,0,No Failure,48.1149,False
M,298.7,308.4,1441,43.2,132,0,No Failure,62.251200000000004,True
M,298.7,308.4,1430,49.6,135,0,No Failure,70.928,True
L,298.8,308.4,1369,53.0,138,0,No Failure,72.557,True
M,298.8,308.5,1711,28.5,140,0,No Failure,48.7635,False
H,298.7,308.5,1420,45.7,143,0,No Failure,64.894,True
L,298.7,308.6,1297,55.3,148,0,No Failure,71.72409999999999,True
H,298.8,308.6,1449,49.4,150,0,No Failure,71.58059999999999,True
L,298.8,308.6,1268,55.8,155,0,No Failure,70.75439999999999,True
L,298.8,308.6,1511,36.1,157,0,No Failure,54.5471,False
L,298.7,308.5,1544,35.2,159,0,No Failure,54.348800000000004,False
M,298.6,308.4,1778,28.2,161,0,No Failure,50.1396,False
H,298.6,308.4,1407,50.5,164,0,No Failure,71.0535,True
M,298.6,308.4,1391,42.4,169,0,No Failure,58.9784,False
L,298.5,308.4,1513,33.6,172,0,No Failure,50.836800000000004,False
H,298.5,308.4,1612,36.1,174,0,No Failure,58.193200000000004,False
L,298.4,308.4,1515,40.1,179,0,No Failure,60.7515,True
M,298.3,308.3,1379,48.0,181,0,No Failure,66.192,True
L,298.4,308.3,1473,39.9,184,0,No Failure,58.7727,False
L,298.4,308.3,1422,42.7,186,0,No Failure,60.7194,True
M,298.4,308.2,1463,37.6,188,0,No Failure,55.0088,False
M,298.4,308.2,1584,41.0,191,0,No Failure,64.944,True
L,298.4,308.2,1850,27.0,194,0,No Failure,49.95,False
L,298.4,308.2,1528,36.2,196,0,No Failure,55.31360000000001,False
H,298.4,308.2,1987,19.8,198,0,No Failure,39.3426,False
M,298.4,308.1,1495,46.0,203,0,No Failure,68.77,True
H,298.4,308.2,1478,43.5,206,0,No Failure,64.293,True
M,298.4,308.2,1499,40.0,211,0,No Failure,59.96,False
L,298.4,308.2,1471,47.0,214,0,No Failure,69.137,True
L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,77.8174,True
L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,73.84759999999999,True
L,298.3,308.1,1586,35.5,0,0,No Failure,56.303,False
M,298.4,308.2,1468,43.8,2,0,No Failure,64.2984,True
M,298.5,308.3,1440,43.6,5,0,No Failure,62.784,True
L,298.5,308.4,1733,26.0,8,0,No Failure,45.058,False
H,298.4,308.2,1612,32.6,10,0,No Failure,52.5512,False
H,298.4,308.3,1458,42.9,15,0,No Failure,62.548199999999994,True
L,298.4,308.3,1433,62.3,20,1,Power Failure,89.2759,True
L,298.4,308.3,1318,59.1,22,0,No Failure,77.8938,True
M,298.4,308.2,1610,35.0,24,0,No Failure,56.35,False
L,298.2,308.1,1462,50.8,27,0,No Failure,74.2696,True
M,298.1,308.0,1924,20.8,29,0,No Failure,40.019200000000005,False
M,298.2,308.0,1591,33.7,32,0,No Failure,53.6167,False
L,298.2,308.1,1306,58.3,35,0,No Failure,76.13980000000001,True
L,298.2,308.1,1382,43.5,37,0,No Failure,60.117,True
L,298.2,308.1,1618,34.7,39,0,No Failure,56.144600000000004,False
L,298.2,308.2,1988,21.4,41,0,No Failure,42.5432,False
L,298.2,308.2,1436,50.2,43,0,No Failure,72.0872,True
L,298.2,308.3,1304,49.8,45,0,No Failure,64.9392,True
L,298.2,308.3,1475,49.9,47,0,No Failure,73.6025,True
H,298.2,308.3,1824,24.2,49,0,No Failure,44.1408,False
M,298.1,308.2,1342,48.1,54,0,No Failure,64.5502,True
L,298.1,308.2,1485,40.7,57,0,No Failure,60.43950000000001,True
L,298.2,308.2,1667,30.6,59,0,No Failure,51.010200000000005,False
L,298.2,308.2,1446,38.2,61,0,No Failure,55.2372,False
L,298.1,308.3,1301,56.0,63,0,No Failure,72.856,True
L,298.2,308.4,1379,43.1,65,0,No Failure,59.4349,False
L,298.3,308.5,1606,33.6,67,0,No Failure,53.961600000000004,False
M,298.3,308.4,1539,43.4,69,0,No Failure,66.7926,True
L,298.2,308.4,1477,49.9,72,0,No Failure,73.70230000000001,True
L,298.2,308.4,1666,34.6,74,0,No Failure,57.643600000000006,False
H,298.2,308.4,1398,51.8,76,0,No Failure,72.4164,True
H,298.2,308.4,1678,34.6,81,0,No Failure,58.058800000000005,False
M,298.2,308.5,2678,10.7,86,1,Power Failure,28.6546,False
L,298.3,308.5,1453,42.9,89,0,No Failure,62.3337,True
H,298.3,308.6,1432,49.5,91,0,No Failure,70.884,True
M,298.4,308.6,1527,40.9,96,0,No Failure,62.454299999999996,True
L,298.4,308.7,1588,35.0,99,0,No Failure,55.58,False
L,298.4,308.6,1433,47.1,101,0,No Failure,67.49430000000001,True
L,298.4,308.6,1609,35.0,103,0,No Failure,56.315,False
L,298.3,308.5,1575,41.2,105,0,No Failure,64.89,True
M,298.4,308.5,1636,35.7,107,0,No Failure,58.40520000000001,False
L,298.4,308.5,1490,37.9,110,0,No Failure,56.471,False
L,298.4,308.5,1741,32.8,112,0,No Failure,57.1048,False
M,298.5,308.6,1344,53.0,114,0,No Failure,71.232,True
L,298.5,308.7,1609,35.3,117,0,No Failure,56.7977,False
M,298.4,308.7,1421,60.7,119,1,Power Failure,86.2547,True
L,298.4,308.6,1591,36.7,122,0,No Failure,58.389700000000005,False
L,298.4,308.6,1477,44.0,124,0,No Failure,64.988,True
L,298.4,308.7,1523,36.1,126,0,No Failure,54.9803,False
L,298.5,308.7,1575,33.9,128,0,No Failure,53.3925,False
H,298.4,308.7,1344,52.9,130,0,No Failure,71.09759999999999,True
L,298.4,308.7,1386,44.9,135,0,No Failure,62.2314,True
M,298.3,308.6,1589,37.1,137,0,No Failure,58.9519,False
L,298.3,308.6,1548,40.3,140,0,No Failure,62.38439999999999,True
L,298.3,308.6,1499,38.3,142,0,No Failure,57.411699999999996,False
L,298.3,308.5,1664,31.6,144,0,No Failure,52.5824,False
L,298.3,308.6,1447,38.1,146,0,No Failure,55.130700000000004,False
M,298.3,308.5,1434,46.2,148,0,No Failure,66.2508,True
L,298.3,308.5,1416,52.7,151,0,No Failure,74.6232,True
H,298.4,308.5,1827,24.3,153,0,No Failure,44.3961,False
L,298.4,308.6,1304,45.0,158,0,No Failure,58.68,False
L,298.4,308.6,1569,34.4,160,0,No Failure,53.9736,False
L,298.3,308.6,1584,29.3,162,0,No Failure,46.4112,False
L,298.3,308.5,1362,53.8,164,0,No Failure,73.2756,True
L,298.3,308.4,1329,49.2,166,0,No Failure,65.38680000000001,True
L,298.3,308.5,1539,36.1,168,0,No Failure,55.557900000000004,False
M,298.3,308.5,1629,37.1,170,0,No Failure,60.435900000000004,True
L,298.3,308.5,1538,32.2,173,0,No Failure,49.52360000000001,False
L,298.3,308.6,1570,34.8,175,0,No Failure,54.635999999999996,False
L,298.3,308.4,1408,43.1,177,0,No Failure,60.6848,True
L,298.2,308.4,1424,47.6,179,0,No Failure,67.78240000000001,True
L,298.2,308.4,1512,34.9,181,0,No Failure,52.7688,False
L,298.2,308.4,1478,42.9,183,0,No Failure,63.4062,True
M,298.1,308.3,1680,33.7,185,0,No Failure,56.61600000000001,False
L,298.1,308.3,1495,38.7,188,0,No Failure,57.856500000000004,False
M,298.0,308.1,1552,36.6,190,0,No Failure,56.803200000000004,False
L,297.9,308.1,1393,50.3,193,0,No Failure,70.0679,True
L,298.0,308.2,1611,30.6,195,0,No Failure,49.296600000000005,False
M,298.0,308.1,1339,51.6,197,0,No Failure,69.09240000000001,True
L,298.0,308.1,1777,24.3,200,0,No Failure,43.1811,False
L,298.0,308.2,1348,58.8,202,1,Overstrain Failure,79.2624,True
L,298.0,308.2,1442,44.1,204,0,No Failure,63.592200000000005,True
M,298.0,308.2,1395,49.1,206,0,No Failure,68.4945,True
M,297.9,308.1,1627,31.4,209,0,No Failure,51.087799999999994,False
L,297.9,308.1,1585,33.5,212,0,No Failure,53.0975,False
L,298.0,308.2,1469,45.5,214,0,No Failure,66.8395,True
L,298.0,308.3,1362,56.8,216,1,Overstrain Failure,77.3616,True
L,298.0,308.3,1405,56.2,218,1,Overstrain Failure,78.961,True
L,298.0,308.3,1662,32.7,0,0,No Failure,54.3474,False
M,298.0,308.2,1466,42.6,2,0,No Failure,62.4516,True
L,298.0,308.2,1620,35.8,5,0,No Failure,57.995999999999995,False
L,298.0,308.2,1357,48.2,7,0,No Failure,65.4074,True
L,298.0,308.2,1514,37.9,9,0,No Failure,57.3806,False
L,298.0,308.2,1489,40.4,11,0,No Failure,60.1556,True
L,298.1,308.3,1331,63.0,13,0,No Failure,83.853,True
L,298.0,308.0,1615,29.5,15,0,No Failure,47.6425,False
L,298.1,308.2,1482,37.9,17,0,No Failure,56.16779999999999,False
M,298.1,308.2,1420,63.9,19,1,Power Failure,90.738,True
M,298.2,308.3,1522,49.1,22,0,No Failure,74.7302,True
L,298.1,308.2,1654,32.1,25,0,No Failure,53.0934,False
M,298.1,308.2,1736,26.8,27,0,No Failure,46.524800000000006,False
M,298.0,308.1,1587,32.3,30,0,No Failure,51.2601,False
L,298.1,308.2,1390,47.5,33,0,No Failure,66.025,True
L,298.0,308.1,1454,37.1,35,0,No Failure,53.943400000000004,False
H,298.0,308.1,1440,43.7,37,0,No Failure,62.928000000000004,True
L,297.9,308.0,1954,21.1,42,0,No Failure,41.2294,False
H,297.9,308.0,1800,24.8,44,0,No Failure,44.64,False
L,298.0,308.0,1524,37.0,49,0,No Failure,56.388,False
H,298.0,308.0,1520,39.6,51,0,No Failure,60.192,True
M,298.1,308.1,1452,40.8,56,0,No Failure,59.2416,False
L,298.1,308.1,1484,40.4,59,0,No Failure,59.9536,False
L,298.1,308.0,1426,46.0,61,0,No Failure,65.596,True
L,298.1,308.0,1652,28.5,63,0,No Failure,47.082,False
L,298.0,308.0,1401,54.7,65,0,No Failure,76.6347,True
M,298.0,307.9,1750,26.6,67,0,No Failure,46.55,False
H,298.0,308.0,1479,50.7,70,0,No Failure,74.98530000000001,True
M,298.0,308.0,1620,29.4,75,0,No Failure,47.628,False
L,298.0,308.1,1819,23.4,78,0,No Failure,42.5646,False
M,298.1,308.1,1456,43.7,80,0,No Failure,63.6272,True
L,298.1,308.0,1626,36.5,83,0,No Failure,59.349,False
M,298.1,308.1,1390,49.8,85,0,No Failure,69.222,True
L,298.2,308.2,1469,43.0,88,0,No Failure,63.167,True
L,298.2,308.3,2051,19.2,90,0,No Failure,39.3792,False
L,298.2,308.3,1568,36.0,92,0,No Failure,56.448,False
L,298.2,308.3,1589,33.2,94,0,No Failure,52.7548,False
L,298.2,308.3,1805,31.6,96,0,No Failure,57.038,False
H,298.2,308.4,1385,42.2,98,0,No Failure,58.44700000000001,False
L,298.1,308.4,1436,46.7,103,0,No Failure,67.0612,True
L,298.1,308.4,1438,45.6,105,0,No Failure,65.5728,True
L,298.0,308.3,1473,42.6,107,0,No Failure,62.7498,True
L,298.1,308.4,1335,40.2,109,0,No Failure,53.66700000000001,False
H,298.1,308.5,1392,44.8,111,0,No Failure,62.361599999999996,True
M,298.1,308.5,1372,51.1,116,0,No Failure,70.1092,True
M,298.1,308.6,1716,30.7,119,0,No Failure,52.6812,False
L,298.0,308.5,1395,46.2,122,0,No Failure,64.44900000000001,True
L,298.0,308.5,1713,25.3,124,0,No Failure,43.3389,False
H,297.9,308.5,2129,18.7,126,0,No Failure,39.81229999999999,False
M,297.8,308.3,1567,35.6,131,0,No Failure,55.7852,False
L,297.8,308.4,1622,38.3,134,0,No Failure,62.1226,True
L,297.7,308.4,1740,27.1,136,0,No Failure,47.154,False
H,297.8,308.4,1512,35.1,138,0,No Failure,53.071200000000005,False
M,297.8,308.4,1479,43.5,143,0,No Failure,64.3365,True
L,297.8,308.4,1737,27.5,146,0,No Failure,47.7675,False
L,297.8,308.4,2129,19.2,148,0,No Failure,40.876799999999996,False
L,297.8,308.4,1374,47.1,150,0,No Failure,64.7154,True
M,297.8,308.4,1579,36.6,152,0,No Failure,57.7914,False
L,297.9,308.5,1305,47.2,155,0,No Failure,61.59600000000001,True
M,297.9,308.5,1449,40.8,157,0,No Failure,59.1192,False
H,298.0,308.6,1526,41.8,160,0,No Failure,63.78679999999999,True
M,298.0,308.6,1453,44.1,165,0,No Failure,64.07730000000001,True
L,297.9,308.6,1468,36.0,168,0,No Failure,52.848,False
L,298.0,308.6,1313,50.8,170,0,No Failure,66.70039999999999,True
M,297.9,308.5,1300,53.0,172,0,No Failure,68.9,True
L,297.9,308.4,1646,40.6,175,0,No Failure,66.8276,True
L,297.8,308.4,1714,33.2,177,0,No Failure,56.9048,False
L,297.8,308.4,1685,28.4,179,0,No Failure,47.854,False
L,297.8,308.4,1512,39.9,181,0,No Failure,60.328799999999994,True
L,297.8,308.4,1612,32.1,183,0,No Failure,51.745200000000004,False
H,297.8,308.4,1550,38.2,185,0,No Failure,59.21000000000001,False
L,297.8,308.4,1518,32.5,190,0,No Failure,49.335,False
L,297.8,308.5,1448,40.0,192,0,No Failure,57.92,False
L,297.8,308.5,1561,46.3,194,0,No Failure,72.27429999999998,True
M,297.8,308.5,1488,41.9,196,0,No Failure,62.347199999999994,True
L,297.8,308.5,1699,27.8,199,0,No Failure,47.232200000000006,False
L,297.7,308.5,1501,41.4,201,0,No Failure,62.141400000000004,True
L,297.7,308.5,1373,56.7,203,1,Overstrain Failure,77.8491,True
H,297.6,308.4,1703,31.4,205,0,No Failure,53.474199999999996,False
H,297.7,308.5,1720,29.9,210,0,No Failure,51.428,False
M,297.6,308.4,1398,41.9,215,0,No Failure,58.5762,False
M,297.6,308.4,1391,51.9,218,0,No Failure,72.1929,True
M,297.6,308.3,1538,40.2,0,0,No Failure,61.827600000000004,True
L,297.5,308.2,1647,31.3,3,0,No Failure,51.5511,False
M,297.5,308.1,1469,44.8,5,0,No Failure,65.8112,True
L,297.4,308.1,1749,25.9,8,0,No Failure,45.299099999999996,False
M,297.6,308.2,1995,20.5,10,0,No Failure,40.8975,False
L,297.6,308.3,1742,27.7,13,0,No Failure,48.2534,False
L,297.5,308.2,1563,38.2,15,0,No Failure,59.70660000000001,False
M,297.5,308.2,1713,32.2,17,0,No Failure,55.15860000000001,False
L,297.4,308.1,1474,39.4,20,0,No Failure,58.0756,False
M,297.4,308.2,1530,32.6,22,0,No Failure,49.878,False
L,297.4,308.2,1471,46.5,25,0,No Failure,68.4015,True
L,297.5,308.3,1388,48.6,27,0,No Failure,67.4568,True
M,297.5,308.2,2448,13.8,29,0,No Failure,33.7824,False
L,297.5,308.3,1585,32.9,32,0,No Failure,52.1465,False
M,297.5,308.3,1459,45.2,34,0,No Failure,65.9468,True
L,297.5,308.3,1544,40.8,37,0,No Failure,62.9952,True
L,297.6,308.3,1617,31.7,39,0,No Failure,51.258900000000004,False
L,297.6,308.3,1595,34.3,41,0,No Failure,54.708499999999994,False
H,297.6,308.3,1400,44.3,43,0,No Failure,62.019999999999996,True
M,297.6,308.4,1611,31.0,48,0,No Failure,49.941,False
M,297.6,308.4,1507,46.0,51,0,No Failure,69.322,True
H,297.5,308.3,1674,30.0,54,0,No Failure,50.22,False
L,297.6,308.3,1658,34.3,59,0,No Failure,56.86939999999999,False
L,297.6,308.3,1623,36.9,61,0,No Failure,59.8887,False
M,297.6,308.4,1398,48.9,63,0,No Failure,68.3622,True
L,297.6,308.4,1517,34.2,66,0,No Failure,51.8814,False
M,297.6,308.3,1467,36.7,68,0,No Failure,53.8389,False
M,297.6,308.3,1567,34.6,71,0,No Failure,54.2182,False
M,297.5,308.3,1521,38.2,74,0,No Failure,58.1022,False
L,297.5,308.3,1596,36.8,77,0,No Failure,58.7328,False
H,297.6,308.3,1640,30.9,79,0,No Failure,50.676,False
L,297.6,308.3,1438,47.8,84,0,No Failure,68.73639999999999,True
L,297.6,308.4,1407,55.2,86,0,No Failure,77.66640000000001,True
L,297.6,308.4,1353,57.5,88,0,No Failure,77.7975,True
M,297.6,308.5,1552,40.9,90,0,No Failure,63.4768,True
M,297.6,308.4,1569,38.3,93,0,No Failure,60.092699999999994,True
L,297.5,308.4,1489,39.5,96,0,No Failure,58.8155,False
H,297.5,308.4,1587,36.1,98,0,No Failure,57.2907,False
M,297.5,308.3,1622,37.2,103,0,No Failure,60.3384,True
L,297.5,308.4,1604,38.1,106,0,No Failure,61.1124,True
M,297.4,308.3,1405,51.7,108,0,No Failure,72.6385,True
L,297.4,308.3,1412,42.0,111,0,No Failure,59.304,False
L,297.4,308.3,1431,43.0,113,0,No Failure,61.533,True
L,297.4,308.2,1533,37.4,115,0,No Failure,57.334199999999996,False
M,297.4,308.2,1401,51.9,117,0,No Failure,72.7119,True
M,297.4,308.2,1424,53.9,120,0,No Failure,76.75359999999999,True
L,297.3,308.2,1754,29.4,123,0,No Failure,51.5676,False
L,297.3,308.2,1754,26.8,125,0,No Failure,47.007200000000005,False
L,297.5,308.3,2564,12.8,127,1,Power Failure,32.8192,False
L,297.5,308.5,1546,40.4,129,0,No Failure,62.4584,True
L,297.5,308.5,1335,48.0,131,0,No Failure,64.08,True
M,297.5,308.6,1842,27.0,133,0,No Failure,49.734,False
L,297.5,308.5,1712,26.8,136,0,No Failure,45.8816,False
M,297.6,308.6,1414,45.4,138,0,No Failure,64.1956,True
L,297.6,308.7,1319,50.9,141,0,No Failure,67.13709999999999,True
L,297.7,308.7,1249,60.4,143,0,No Failure,75.43959999999998,True
L,297.6,308.7,1455,48.2,145,0,No Failure,70.131,True
M,297.6,308.7,1408,54.8,147,0,No Failure,77.1584,True
L,297.6,308.7,1460,46.7,150,0,No Failure,68.182,True
L,297.6,308.6,1491,38.1,152,0,No Failure,56.8071,False
M,297.6,308.5,1490,43.4,154,0,No Failure,64.666,True
M,297.5,308.4,1350,52.2,157,0,No Failure,70.47,True
L,297.5,308.4,1528,39.9,160,0,No Failure,60.9672,True
L,297.4,308.3,1571,37.7,162,0,No Failure,59.2267,False
L,297.4,308.3,1490,42.6,164,0,No Failure,63.474,True
M,297.4,308.3,1774,28.9,166,0,No Failure,51.2686,False
H,297.4,308.3,1502,43.6,169,0,No Failure,65.4872,True
L,297.4,308.4,1392,49.7,174,0,No Failure,69.18240000000002,True
L,297.4,308.5,2100,16.9,176,0,No Failure,35.49,False
L,297.5,308.5,1722,30.4,178,0,No Failure,52.3488,False
L,297.4,308.6,1678,32.3,180,0,No Failure,54.1994,False
L,297.3,308.6,1273,59.8,182,0,No Failure,76.1254,True
L,297.3,308.6,1297,45.9,184,0,No Failure,59.53229999999999,False
L,297.3,308.5,1350,57.6,186,0,No Failure,77.76,True
L,297.4,308.6,1439,51.9,188,0,No Failure,74.68409999999999,True
M,297.4,308.5,1600,42.1,190,0,No Failure,67.36,True
M,297.4,308.6,1434,44.4,193,0,No Failure,63.669599999999996,True
L,297.4,308.6,1459,41.3,196,0,No Failure,60.256699999999995,True
